54,"00: 00: 08","0.00","0.00","19.75","0.00","43.18","1.07","0.51","79.40","1.83","-49.83"
55,"00: 00: 08","0.00","0.00","88.36","0.00","24.23","1.07","0.43","98.22","0.41","-93.85"
56,"00: 00: 09","0.00","0.00","70.09","0.01","3.08","0.69","0.43","99.12","0.03","-100.00"
57,"00: 00: 09","0.00","0.00","23.99","0.02","0.29","0.47","0.48","96.24","0.01","-91.15"
58,"00: 00: 09","0.00","0.00","1.08","0.10","0.02","0.25","0.63","62.81","0.00","-75.23"
59,"00: 00: 09","0.00","0.00","0.32","0.17","0.01","0.20","0.62","33.93","0.00","-65.43"
60,"00: 00: 09","0.00","0.00","0.21","0.15","0.01","0.21","0.58","10.66","0.00","-49.57"
61,"00: 00: 09","0.00","0.00","0.11","0.17","0.01","0.21","0.55","1.80","0.00","-32.40"
62,"00: 00: 09","0.00","0.00","0.06","0.19","0.01","0.21","0.70","0.43","0.00","-23.25"
63,"00: 00: 10","0.00","0.00","0.06","0.22","0.00","0.20","0.88","0.22","0.00","-19.17"
64,"00: 00: 10","0.00","0.00","0.08","0.27","0.00","0.20","1.04","0.16","0.01","-20.86"
65,"00: 00: 10","0.00","0.00","0.07","0.23","0.00","0.20","0.73","0.18","0.01","-15.11"
66,"00: 00: 10","0.01","0.00","0.05","0.23","0.00","0.20","1.13","0.17","0.01","-11.87"
67,"00: 00: 13","0.00","0.00","0.05","0.24","0.00","0.20","0.43","0.09","0.01","-3.03"
68,"00: 00: 14","0.00","0.00","0.06","0.26","0.00","0.21","0.43","0.09","0.01","-3.88"
69,"00: 00: 14","0.00","0.00","0.12","0.36","0.00","0.20","0.43","0.08","0.01","-7.13"
70,"00: 00: 14","0.00","0.00","0.22","0.46","0.00","0.20","0.43","0.09","0.01","-9.86"
71,"00: 00: 14","0.00","0.00","0.25","0.50","0.00","0.20","0.43","0.08","0.01","-10.49"
72,"00: 00: 14","0.00","0.00","0.07","0.34","0.00","0.19","0.43","0.09","0.01","-4.97"
73,"00: 00: 14","0.00","0.00","0.01","1.32","0.00","0.19","0.43","1.02","0.02","-1.45"
74,"00: 00: 15","0.00","0.00","0.00","18.09","0.00","0.19","0.43","38.70","0.08","-0.57"
75,"00: 00: 15","0.00","0.00","0.00","22.21","0.00","0.20","0.43","49.83","0.09","0.00"
76,"00: 00: 15","0.00","0.00","0.00","19.92","0.00","0.19","0.44","45.02","0.08","-0.07"
77,"00: 00: 15","0.00","0.00","0.01","0.87","0.00","0.19","0.44","0.70","0.01","-0.12"
78,"00: 00: 15","0.00","0.00","0.02","0.19","0.00","0.20","0.43","0.09","0.00","-0.55"
